Bundesland,Code,Largest_city,Population
Baden-Württemberg,DE1,Stuttgart,11280257
Bavaria,DE2,München,13369393
Berlin,DE3,Berlin,3755251
Brandenburg,DE4,Potsdam,2573135
Bremen,DE5,Bremen,684864
Hamburg,DE6,Hamburg,1892122
Hessen,DE7,Frankfurt,6391360
Mecklenburg-Vorpommern,DE8,Schwerin,1628378
Niedersachsen,DE9,Hanover,8140242
Nordrhein-Westfalen,DEA,Köln,18139116
Rheinland-Pfalz,DEB,Mainz,4159150
Saarland,DEC,Saarbrücken,992666
Freistat Sachsen,DED,Leipzig,4086152
Sachsen-Anhalt,DEE,Halle,2186643
Schleswig-Holstein,DEF,Kiel,2953270
Thüringen,DEG,Erfurt,2126846
