Regierungsbezirke,Code,Largest_city,Population
Stuttgart,DE11,Stuttgart,4150949
Karlsruhe,DE12,Mannheim,2812482
Freiburg,DE13,Freiburg,2285156
Tübingen,DE14,Ulm,1876055
Oberbayer,DE21,München,4801769
Niederbayern,DE22,Landshut,1273955
Oberpfalz,DE23,Regensburg,1133741
Oberfranken,DE24,Bayreuth,1073783
Mittelfranken,DE25,Nuremberg,1805791
Unterfranken,DE26,Würzburg,1334376
Schwaben,DE27,Augsburg,1945978
Berlin,DE30,Berlin,6144600
Brandenburg,DE40,Potsdam,2520198
Bremen,DE50,Bremen,684864
Hamburg,DE60,Hamburg,1892122
Darmstadt,DE71,Frankfurt,4088107
Giessen,DE72,Giessen,1067354
Kassel,DE73,Kassel,1235899
Mecklenburg-Vorpommern,DE80,Schwerin,1609675
Braunschweig,DE91,Braunschweig,1659396
Hannover,DE92,Hannover,2167343
Lüneburg,DE93,Lüneburg,1702179
Weser-Ems,DE94,Oldenburg,2473998
Düsseldorf,DEA1,Düsseldorf,5197679
Köln,DEA2,Köln,4472956
Münster,DEA3,Münster,2631237
Detmold,DEA4,Detmold,2057480
Arnsberg,DEA5,Dortmund,3565239
Koblenz,DEB1,Koblenz,1524695
Trier,DEB2,Trier,512990
Rheinhessen-Pfalz,DEB3,Neustadt,2011381
Saarland,DEC0,Saarbrücken,990509
Dresden,DED2,Dresden,1626870
Chemnitz,DED4,Chemnitz,1526091
Lepzig,DED5,Leipzig,996516
Sachsen-Anhalt,DEE0,Halle,2169253
Schleswig-Holstein,DEF0,Kiel,2920850
Thüringen,DEG0,Erfurt,2120237
