Largest_city,Population
Alb-Donau-Kreis,199732
Baden-Baden,55527
Biberach,203244
Böblingen,393195
Bodenseekreis,218885
Breisgau-Hochschwarzwald,265792
Calw,160686
Emmendingen,167945
Enzkreis,200237
Esslingen,533388
Freiburg im Breisgau,231848
Freudenstadt,119183
Göppingen,259046
Heidelberg,159245
Heidenheim,132958
Heilbronn,347798
Heilbronn Stadt,125613
Hohenlohekreis,113318
Karlsruhe,448487
Karlsruhe Stadt,306502
Konstanz,288097
Lörrach,229445
Ludwigsburg,544679
Main-Tauber-Kreis,132956
Mannheim,311831
Neckar-Odenwald-Kreis,143929
Ortenaukreis,434535
Ostalbkreis,315009
Pforzheim,125529
Rastatt,232296
Ravensburg,287011
Rems-Murr-Kreis,427316
Reutlingen,288158
Rhein-Neckar-Kreis,549030
Rottweil,140446
Schwäbisch Hall,199398
Schwarzwald-Baar-Kreis,213385
Sigmaringen,131725
Stuttgart,626275
Tübingen,229806
Tuttlingen,142414
Ulm,126949
Waldshut,171249
Zollernalbkreis,190545
Aichach-Friedberg,135538
Altötting,112116
Amberg,41994
Amberg-Sulzbach,103277
Ansbach,186279
Ansbach Stadt,41662
Aschaffenburg,174965
Aschaffenburg Stadt,71381
Augsburg,257790
Augsburg Stadt,296478
Bad Kissingen,103454
Bad Tölz-Wolfratshausen,127919
Bamberg,147697
Bamberg Stadt,77749
Bayreuth,103648
Bayreuth Stadt,73909
Berchtesgadener Land,106389
Cham,128444
Coburg,86544
Coburg Stadt,40955
Dachau,155449
Deggendorf,120521
Dillingen a.d. Donau,97985
Dingolfing-Landau,98045
Donau-Ries,134986
Ebersberg,144562
Eichstätt,133634
Erding,139622
Erlangen,113292
Erlangen-Höchstadt,139323
Forchheim,116753
Freising,181144
Freyung-Grafenau,78632
Fürstenfeldbruck,218579
Fürth,119432
Fürth Stadt,129122
Garmisch-Partenkirchen,88232
Günzburg,128436
Haßberge,84284
Hof,93907
Hof Stadt,45125
Ingolstadt,138016
Kaufbeuren,45118
Kelheim,123899
Kempten (Allgäu),69053
Kitzingen,91980
Kronach,66091
Kulmbach,71328
Landsberg am Lech,121466
Landshut,162331
Landshut Stadt,73150
Lichtenfels,66741
Lindau (Bodensee),82330
Main-Spessart,126105
Memmingen,44721
Miesbach,99978
Miltenberg,128782
Mühldorf a. Inn,117606
München,349837
München Stadt,1487708
Neuburg-Schrobenhausen,98503
Neumarkt i.d. OPf.,136062
Neustadt a.d. Aisch-Bad Windsheim,101788
Neustadt a.d. Waldnaab,94838
Neu-Ulm,177330
Nürnberg,510632
Nürnberger Land,171424
Oberallgäu,157202
Ostallgäu,143236
Passau,194090
Passau Stadt,53093
Pfaffenhofen a.d. Ilm,129772
Regen,77176
Regensburg,195225
Regensburg Stadt,153542
Rhön-Grabfeld,79376
Rosenheim,263367
Rosenheim Stadt,63508
Roth,127520
Rottal-Inn,122252
Schwabach,41146
Schwandorf,149239
Schweinfurt,116134
Schweinfurt Stadt,53585
Starnberg,136747
Straubing,47854
Straubing-Bogen,102398
Tirschenreuth,71648
Traunstein,178447
Unterallgäu,147776
Weiden i.d. OPf.,42472
Weilheim-Schongau,136642
Weißenburg-Gunzenhausen,95523
Wunsiedel i. Fichtelgebirge,71482
Würzburg,163534
Würzburg Stadt,126933
Berlin,3677472
Barnim,188835
Brandenburg an der Havel,72461
Cottbus,98359
Dahme-Spreewald,175834
Elbe-Elster,100317
Frankfurt (Oder),56679
Havelland,165906
Märkisch-Oderland,197965
Oberhavel,215795
Oberspreewald-Lausitz,107558
Oder-Spree,179245
Ostprignitz-Ruppin,98829
Potsdam,183154
Potsdam-Mittelmark,219521
Prignitz,75574
Spree-Neiße,111955
Teltow-Fläming,172545
Uckermark,117336
Bremen,563290
Bremerhaven,113173
Hamburg,1853935
Bergstraße,271166
Darmstadt,159631
Darmstadt-Dieburg,296900
Frankfurt am Main,759224
Fulda,223572
Gießen,272874
Groß-Gerau,276307
Hersfeld-Rotenburg,120163
Hochtaunuskreis,237041
Kassel,237268
Kassel Stadt,200406
Lahn-Dill-Kreis,253364
Limburg-Weilburg,172759
Main-Kinzig-Kreis,423465
Main-Taunus-Kreis,239276
Marburg-Biedenkopf,246097
Odenwaldkreis,96953
Offenbach,357466
Offenbach am Main,131295
Rheingau-Taunus-Kreis,187229
Schwalm-Eder-Kreis,180052
Vogelsbergkreis,105671
Waldeck-Frankenberg,156513
Werra-Meißner-Kreis,99714
Wetteraukreis,311661
Wiesbaden,278950
Landkreis Rostock,217796
Ludwigslust-Parchim,211899
Mecklenburgische Seenplatte,257525
Nordwestmecklenburg,158449
Rostock,208400
Schwerin,95740
Vorpommern-Greifswald,235451
Vorpommern-Rügen,225900
Ammerland,126475
Aurich,190425
Braunschweig,248823
Celle,179915
Cloppenburg,173980
Cuxhaven,199603
Delmenhorst,77522
Diepholz,218839
Emden,49523
Emsland,331397
Friesland,98971
Gifhorn,177919
Goslar,134050
Göttingen,323661
Grafschaft Bentheim,138722
Hameln-Pyrmont,148963
Harburg,257548
Heidekreis (Soltau-Fallingbostel),142912
Helmstedt,91379
Hildesheim,274773
Holzminden,69862
Leer,172421
Lüchow-Dannenberg,48472
Lüneburg,185129
Nienburg (Weser),121773
Northeim,131765
Oldenburg,132091
Oldenburg Stadt,170389
Osnabrück,361550
Osnabrück Stadt,165034
Osterholz,115054
Peine,136960
Region Hannover,1157541
Rotenburg (Wümme),165001
Salzgitter,103694
Schaumburg,158108
Stade,206496
Uelzen,92894
Vechta,144805
Landkreis Verden,138507
Wesermarsch,88430
Wilhelmshaven,75027
Wittmund,57455
Wolfenbüttel,119224
Wolfsburg,123949
Bielefeld,334002
Bochum,363441
Bonn,331885
Borken,373582
Bottrop,117311
Coesfeld,221352
Dortmund,586852
Duisburg,495152
Düren,266771
Düsseldorf,619477
Ennepe-Ruhr-Kreis,322143
Essen,579432
Euskirchen,194701
Gelsenkirchen,260126
Gütersloh,366104
Hagen,188713
Hamm,179238
Heinsberg,258306
Herford,250635
Herne,156621
Hochsauerlandkreis,258615
Höxter,139994
Kleve,314676
Köln,1073096
Krefeld,227050
Leverkusen,163851
Lippe,346151
Märkischer Kreis,406793
Mettmann,484411
Minden-Lübbecke,311214
Mönchengladbach,261001
Mülheim an der Ruhr,170739
Münster,317713
Oberbergischer Kreis,271621
Oberhausen,208752
Olpe,133120
Paderborn,309380
Recklinghausen,612801
Remscheid,111770
Rhein-Erft-Kreis,471891
Rheinisch-Bergischer Kreis,283429
Rhein-Kreis Neuss,452496
Rhein-Sieg-Kreis,600732
